started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-12-01 12:44:59.269000+00:00,2024-12-01 12:49:39.107000+00:00,279,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-12-01 12:45:05.525000+00:00,2024-12-01 12:49:10.343000+00:00,244,795,Fosswinckels gate,I gågate,60.38658166593217,5.327978744635743,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2024-12-01 12:45:44.351000+00:00,2024-12-01 12:49:35.709000+00:00,231,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-12-01 12:46:56.201000+00:00,2024-12-01 12:53:02.971000+00:00,366,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562
2024-12-01 12:47:49.095000+00:00,2024-12-01 12:57:47.462000+00:00,598,811,Amalie Skrams vei Nord,Amalie Skrams vei 25,60.410929182460585,5.324662770153282,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935
2024-12-01 12:51:16.108000+00:00,2024-12-01 12:53:33.005000+00:00,136,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-12-01 12:51:49.886000+00:00,2024-12-01 12:55:43.265000+00:00,233,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 12:53:16.019000+00:00,2024-12-01 13:29:18.062000+00:00,2162,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-12-01 12:57:59.025000+00:00,2024-12-01 13:25:03.935000+00:00,1624,7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266,1047,Welhavens gate 64,Langs gatetun,60.38445114789948,5.324440726278226
2024-12-01 12:58:09.447000+00:00,2024-12-01 13:07:39.510000+00:00,570,1891,Rosenbergsgaten,I nærheten av Rosenbergsgaten 34,60.38904687509401,5.321882967938819,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2024-12-01 12:58:13.795000+00:00,2024-12-01 13:01:35.630000+00:00,201,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2024-12-01 13:02:54.295000+00:00,2024-12-01 13:08:36.173000+00:00,341,7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
2024-12-01 13:05:01.782000+00:00,2024-12-01 13:15:14.248000+00:00,612,811,Amalie Skrams vei Nord,Amalie Skrams vei 25,60.410929182460585,5.324662770153282,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046
2024-12-01 13:06:58.884000+00:00,2024-12-01 13:17:32.638000+00:00,633,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 13:10:33.914000+00:00,2024-12-01 13:13:09.526000+00:00,155,116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155
2024-12-01 13:10:41.577000+00:00,2024-12-01 13:13:00.148000+00:00,138,116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027,3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.3285641370894155
2024-12-01 13:15:06.309000+00:00,2024-12-01 13:20:34.392000+00:00,328,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248
2024-12-01 13:15:36.741000+00:00,2024-12-01 13:18:08.944000+00:00,152,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-12-01 13:29:18.265000+00:00,2024-12-01 13:34:09.202000+00:00,290,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-12-01 13:30:05.533000+00:00,2024-12-01 13:37:13.927000+00:00,428,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.3326504538233905
